C,A,N,S,L,I,M,n_pass,verdict,name,ticker,market,last,pivot,dist
fail,fail,pass,unknown,fail,unknown,pass,2,fail,FirstSun Capital Bancorp - Common Stoc,FSUN,US,40.01,40.11,-0.25
unknown,unknown,fail,unknown,pass,unknown,fail,1,fail,GLOBAL NEW MAT,6616.HK,HK,9.79,10.01,-2.2
unknown,fail,fail,unknown,fail,unknown,fail,0,fail,トランザクション,7818.T,JP,1197.0,1267.27,-5.54
fail,fail,pass,unknown,pass,unknown,pass,3,fail,"IQVIA Holdings, Inc. Common Stock",IQV,US,261.19,251.61,3.81
unknown,fail,pass,unknown,fail,unknown,pass,2,fail,Northeast Bank - Common Stock,NBN,US,126.15,125.22,0.75
fail,fail,pass,unknown,fail,unknown,pass,2,fail,Main Street Capital Corporation Common,MAIN,US,58.92,59.67,-1.26
fail,fail,fail,unknown,fail,unknown,pass,1,fail,CBRE Group Inc Common Stock Class A,CBRE,US,145.81,153.23,-4.84
unknown,unknown,pass,unknown,fail,unknown,pass,2,fail,iPath Series B Carbon Exchange-Traded ,GRN,US,33.08,34.37,-3.78
fail,fail,pass,unknown,fail,unknown,pass,2,fail,IBEX Limited - Common Share,IBEX,US,38.46,37.71,2.0
unknown,unknown,pass,unknown,fail,unknown,fail,1,fail,小田原機器,7314.T,JP,1310.0,1311.31,-0.1
pass,unknown,fail,unknown,fail,unknown,pass,2,fail,Shopify Inc. - Class A Subordinate Vot,SHOP,US,147.37,159.03,-7.33
unknown,fail,fail,unknown,fail,unknown,fail,0,fail,植木組,1867.T,JP,2734.0,2851.85,-4.13
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,栗本鐵工所,5602.T,JP,1777.0,1780.78,-0.21
unknown,fail,pass,unknown,fail,unknown,pass,2,fail,Smurfit WestRock plc Ordinary Shares,SW,US,46.9,52.04,-9.88
fail,fail,fail,unknown,fail,unknown,pass,1,fail,Noble Corporation plc A Ordinary Share,NE,US,45.83,47.84,-4.2
unknown,fail,fail,unknown,fail,unknown,fail,0,fail,粤高速Ａ,000429.SZ,CN,13.39,13.19,1.49
fail,pass,pass,unknown,fail,unknown,pass,3,fail,Covista Inc. Common Shares,CVSA,US,132.33,133.87,-1.15
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,ヨドコウ,5451.T,JP,1431.0,1421.42,0.67
fail,pass,fail,unknown,fail,unknown,pass,2,fail,"InterDigital, Inc. - Common Stock",IDCC,US,335.03,353.34,-5.18
unknown,unknown,fail,unknown,fail,unknown,fail,0,fail,芯联集成,688469.SS,CN,8.58,9.59,-10.53
unknown,fail,pass,pass,fail,unknown,fail,2,fail,グッドコムアセット,3475.T,JP,1553.0,1574.57,-1.37
unknown,fail,pass,pass,fail,pass,fail,3,fail,コスモエネルギーホールディングス,5021.T,JP,4192.0,4280.28,-2.06
