C,A,N,S,L,I,M,n_pass,verdict,name,ticker,market,last,pivot
unknown,fail,pass,pass,fail,pass,fail,3,fail,"CTO Realty Growth, Inc. Common Stock",CTO,US,20.75,20.19
unknown,pass,fail,pass,fail,pass,fail,3,fail,CHIFENG GOLD,6693.HK,HK,36.58,41.04
fail,fail,pass,pass,fail,fail,fail,2,fail,ABM Industries Incorporated Common Sto,ABM,US,49.91,48.94
pass,fail,pass,pass,pass,fail,fail,4,fail,Matador Resources Company Common Stock,MTDR,US,63.17,60.44
fail,fail,pass,pass,fail,pass,fail,3,fail,TSE7267,7267.T,JP,1675.0,1605.6
fail,fail,fail,pass,fail,fail,fail,1,fail,Acuity Inc. Common Stock,AYI,US,299.84,310.4
pass,pass,pass,pass,fail,pass,fail,5,fail,"Hercules Capital, Inc. Common Stock",HTGC,US,17.64,17.95
unknown,fail,pass,pass,fail,pass,fail,3,fail,宏发股份,600885.SS,CN,34.73,33.61
fail,fail,fail,pass,fail,fail,fail,1,fail,"Agilysys, Inc. - Common Stock",AGYS,US,104.64,117.62
fail,pass,fail,pass,fail,fail,fail,2,fail,SLM Corporation - Common Stock,SLM,US,26.15,28.3
fail,fail,pass,pass,fail,pass,fail,3,fail,HNI Corporation Common Stock,HNI,US,45.93,50.41
unknown,fail,pass,pass,fail,pass,fail,3,fail,TSE3496,3496.T,JP,4775.0,4994.99
unknown,fail,fail,pass,fail,fail,fail,1,fail,TSE2986,2986.T,JP,2821.0,3169.83
unknown,fail,fail,fail,fail,pass,fail,1,fail,潍柴动力,000338.SZ,CN,26.04,29.11
unknown,fail,pass,pass,fail,pass,fail,3,fail,FIRST TRACTOR,0038.HK,HK,9.24,9.19
unknown,fail,fail,pass,pass,pass,fail,3,fail,TSE7729,7729.T,JP,16255.0,17012.0
fail,fail,pass,pass,fail,fail,fail,2,fail,Axalta Coating Systems Ltd. Common Sha,AXTA,US,33.29,33.14
pass,fail,fail,pass,fail,pass,fail,3,fail,"Analog Devices, Inc. - Common Stock",ADI,US,361.35,354.64
unknown,fail,fail,pass,fail,pass,fail,2,fail,CHINFMINING,1258.HK,HK,15.3,15.11
unknown,fail,pass,pass,fail,pass,fail,3,fail,皖通高速,600012.SS,CN,16.35,15.97
fail,fail,pass,pass,fail,pass,fail,3,fail,"Worthington Enterprises, Inc. Common S",WOR,US,54.36,56.06
unknown,fail,fail,pass,fail,pass,fail,2,fail,VSTECS,0856.HK,HK,9.22,10.04
fail,fail,pass,pass,pass,fail,fail,3,fail,WEX Inc. common stock,WEX,US,200.08,191.57
pass,fail,fail,pass,fail,fail,fail,2,fail,"Crane NXT, Co. Common Stock",CXT,US,47.54,53.9
fail,fail,pass,pass,pass,fail,fail,3,fail,Woori Financial Group Inc. American De,WF,US,79.48,77.76
fail,fail,fail,pass,fail,pass,fail,2,fail,PrimeEnergy Resources Corporation - Co,PNRG,US,213.4,216.22
unknown,fail,pass,pass,pass,pass,fail,4,fail,"CeriBell, Inc. - Common Stock",CBLL,US,25.04,25.36
unknown,fail,fail,pass,fail,fail,fail,1,fail,"SailPoint, Inc. - Common Stock",SAIL,US,19.98,20.4
unknown,pass,fail,pass,fail,pass,fail,3,fail,Harmony Gold Mining Company Limited,HMY,US,19.54,20.16
fail,fail,pass,pass,fail,fail,fail,2,fail,Central Garden & Pet Company - Class A,CENTA,US,34.61,34.54
fail,fail,pass,pass,fail,fail,fail,2,fail,"Mettler-Toledo International, Inc. Com",MTD,US,1330.4,1322.79
unknown,fail,fail,pass,fail,pass,fail,2,fail,Dakota Gold Corp. Common Stock,DC,US,5.8,6.49
pass,fail,fail,pass,fail,fail,fail,2,fail,Flowco Holdings Inc. Class A Common St,FLOC,US,20.54,23.34
fail,fail,pass,pass,fail,fail,fail,2,fail,"First Hawaiian, Inc. - Common Stock",FHB,US,25.85,26.91
fail,fail,pass,pass,fail,pass,fail,3,fail,"Pinnacle Financial Partners, Inc. Comm",PNFP,US,99.34,99.39
fail,fail,fail,pass,fail,fail,fail,1,fail,"UFP Technologies, Inc. - Common Stock",UFPT,US,275.47,275.48
unknown,pass,fail,fail,fail,pass,fail,2,fail,紫金矿业,601899.SS,CN,31.68,33.71
unknown,fail,pass,pass,pass,fail,fail,3,fail,康平科技,300907.SZ,CN,51.55,52.91
fail,fail,pass,pass,fail,pass,fail,3,fail,Danaher Corporation Common Stock,DHR,US,209.36,220.89
pass,fail,pass,pass,pass,pass,fail,5,fail,Methanex Corporation - Common Stock,MEOH,US,64.46,61.43
pass,fail,pass,pass,fail,pass,fail,4,fail,Truist Financial Corporation Common St,TFC,US,50.46,50.73
fail,fail,pass,pass,fail,fail,fail,2,fail,Genuine Parts Company Common Stock,GPC,US,131.01,137.3
fail,fail,fail,pass,fail,pass,fail,2,fail,Ares Management Corporation Class A Co,ARES,US,129.1,146.14
pass,fail,pass,pass,fail,pass,fail,4,fail,BEONE MEDICINES,6160.HK,HK,212.4,203.0
fail,fail,pass,pass,pass,fail,fail,3,fail,"Manhattan Associates, Inc. - Common St",MANH,US,209.62,227.26
unknown,fail,fail,pass,fail,pass,fail,2,fail,翔港科技,603499.SS,CN,13.61,14.39
unknown,fail,pass,pass,fail,pass,fail,3,fail,The J.M. Smucker Company Common Stock,SJM,US,121.7,117.86
fail,fail,pass,pass,fail,fail,fail,2,fail,"Donnelley Financial Solutions, Inc. Co",DFIN,US,47.86,51.0
fail,fail,pass,pass,fail,fail,fail,2,fail,"Honda Motor Company, Ltd. Common Stock",HMC,US,32.21,31.92
unknown,fail,pass,pass,fail,pass,fail,3,fail,TSE3360,3360.T,JP,2442.5,2326.32
fail,pass,fail,pass,fail,fail,fail,2,fail,Sonoco Products Company Common Stock,SON,US,48.28,49.69
fail,fail,pass,pass,fail,pass,fail,3,fail,Medtronic plc. Ordinary Shares,MDT,US,93.75,95.51
fail,fail,fail,pass,fail,pass,fail,2,fail,B2Gold Corp Common shares (Canada),BTG,US,5.22,5.24
pass,fail,fail,pass,fail,pass,fail,3,fail,"Apollo Global Management, Inc. (New) C",APO,US,127.0,131.13
fail,fail,pass,pass,fail,pass,fail,3,fail,Nutrien Ltd. Common Shares,NTR,US,78.72,81.0
unknown,fail,fail,pass,fail,pass,fail,2,fail,盛景微,603375.SS,CN,44.96,47.55
pass,pass,fail,pass,pass,pass,fail,5,fail,"QuinStreet, Inc. - Common Stock",QNST,US,18.36,18.04
unknown,fail,pass,fail,fail,pass,fail,2,fail,CM BANK,3968.HK,HK,51.2,49.8
pass,fail,pass,pass,fail,pass,fail,4,fail,Opera Limited - American Depositary Sh,OPRA,US,18.44,19.26
fail,fail,fail,pass,fail,fail,fail,1,fail,Gentex Corporation - Common Stock,GNTX,US,22.41,25.33
unknown,fail,pass,pass,fail,pass,fail,3,fail,TSE7733,7733.T,JP,1975.0,2130.13
unknown,pass,pass,pass,fail,pass,fail,4,fail,TSE9706,9706.T,JP,5475.0,5530.52
fail,fail,fail,pass,fail,fail,fail,1,fail,"Dollar Tree, Inc. - Common Stock",DLTR,US,112.79,117.0
unknown,fail,pass,pass,pass,pass,fail,4,fail,COSCO SHIP ENGY,1138.HK,HK,18.45,19.33
fail,fail,fail,pass,fail,fail,fail,1,fail,CTS Corporation Common Stock,CTS,US,56.83,56.46
pass,fail,fail,pass,fail,pass,fail,3,fail,Jefferies Financial Group Inc. Common ,JEF,US,48.83,54.16
unknown,fail,fail,fail,fail,pass,fail,1,fail,CSPC PHARMA,1093.HK,HK,8.7,9.11
fail,fail,pass,pass,fail,pass,fail,3,fail,"Mueller Industries, Inc. Common Stock",MLI,US,60.53,69.91
unknown,fail,pass,pass,pass,pass,fail,4,fail,福赛科技,301529.SZ,CN,110.85,130.62
unknown,fail,pass,pass,fail,pass,fail,3,fail,TSE2734,2734.T,JP,1238.0,1175.17
pass,fail,fail,pass,fail,pass,fail,3,fail,Heico Corporation Common Stock,HEI,US,296.85,352.34
unknown,pass,fail,pass,fail,pass,fail,3,fail,TSE1975,1975.T,JP,3805.0,4454.45
pass,fail,pass,pass,pass,pass,fail,5,fail,Equinor ASA,EQNR,US,45.75,41.67
pass,fail,pass,pass,pass,pass,fail,5,fail,Suncor Energy  Inc. Common Stock,SU,US,71.87,66.86
unknown,fail,fail,pass,fail,unknown,fail,1,fail,Microchip Technology Incorporated - De,MCHPP,US,61.7,78.52
unknown,fail,fail,pass,fail,pass,fail,2,fail,TSE6103,6103.T,JP,4320.0,5085.08
unknown,fail,fail,pass,pass,fail,fail,2,fail,振德医疗,603301.SS,CN,81.97,94.59
